"_time",ID,BlockChannel,Category,Event,Certainty,"Response Type",Severity,Urgency,"Message Type",Area,WEAText,Headline,Description,Instruction
"2020-03-20T15:57:55.000-0500",453965158300242,"CAPEXCH
NWEM
PUBLIC",Geo,"Shelter In Place Warning",Observed,,Extreme,Immediate,Alert,"McDonough County","Stay at Home Order: State of Illinois
Illinois Gov. J.B. Pritzker issued a stay at home","Stay at Home Order: State of Illinois","Stay at Home Order: State of Illinois 
Today, Illinois Gov. J.B. Pritzker issued a stay at home order for the state, effective 5 p.m. March 21 through Tuesday, April 7.
Essential services will still be open. 
More information to follow",
"2020-03-20T14:48:40.000-0500",453415402484549,"CAPEXCH
NWEM",Geo,"Civil Emergency Message",Observed,,Extreme,Immediate,Alert,,"Prohibited Public Gathering in Riley County effective  12:01 AM 03/21/2020","Public Health Officer Prohibiteds Public Gathering of ten or more people in Riley County","Public Health Officer Prohibits Public Gathering of ten or more people in Riley County. See attachment.","See attachment for more detailed info."
"2020-03-20T14:38:50.000-0500",453690280392030,"CAPEXCH
NWEM
EAS
PUBLIC
CAPEXCH
NWEM
EAS
PUBLIC","Health
Health","Shelter In Place Warning","Observed
Observed",,"Severe
Severe","Expected
Expected",Alert,"Santa Clara County
Santa Clara County","County residents continue to shelter-in-place as we approach the weekend.  
Remain indoors except to fulfill ""essential activities"", such as buying groceries and picking up medications.  Residents continue social distancing at 6 ft. when conducting ""Essential activities"".  
Visit www.sccphd.org/cv19
Los residentes del condado siguen recluidos en casa (toque de queda) mientras se acerca el fin de semana.
Salga solo para ""Actividades Esenciales"", como comprar alimentos y recoger medicamentos. 
Los residentes siguen con el distanciamiento social a 6 pies (1,80m) cuando realizan ""Actividades Esenciales"".
Visite www.sccphd.org/cv19 para mas informacion.","Continue to shelter-in-place over the weekend.
Continue to shelter-in-place over the weekend.",,
"2020-03-20T13:28:50.000-0500",454240036205287,"CAPEXCH
NWEM
PUBLIC
CAPEXCH
NWEM
PUBLIC","Health
Health","Civil Emergency Message","Observed
Observed",,"Extreme
Extreme","Immediate
Immediate",Alert,"El Paso County
El Paso County","This is a message from the City of El Paso's Department of Public Health. Please do these five simple things to help stop COVID19. Wash your hands often. Cough & Sneeze into your elbow. Do not touch your face. Stay 6 feet apart. Stay home if you feel sick and call your doctor. For more information visit ephealth.com.
Este es un mensaje del Departamento de Salud Publica de la Ciudad de El Paso. Haga estas cinco cosas simples para ayudar a detener COVID19. Lavate las manos con frecuencia Tose y estornuda en tu codo. No toques tu cara. Mantengase a 6 pies de distancia. Quedese en casa si se siente enfermo y llame a su medico. Para mas informacion visite ephealth.com","This is a message from the City of El Paso's Department of Public Health
This is a message from the City of El Paso's Department of Public Health","This is a message from the City of El Paso's Department of Public Health. Please do these five simple things to help stop COVID-19. Wash your hands often. Cough & Sneeze into your elbow. Do not touch your face. Stay 6 feet apart. Stay home if you feel sick and call your doctor. For more information visit ephealth.com.

Este es un mensaje del Departamento de Salud Publica de la Ciudad de El Paso. Haga estas cinco cosas simples para ayudar a detener COVID19. Lavate las manos con frecuencia Tose y estornuda en tu codo. No toques tu cara. Mantengase a 6 pies de distancia. Quedese en casa si se siente enfermo y llame a su medico. Para mas informacion visite ephealth.com
This is a message from the City of El Paso's Department of Public Health. Please do these five simple things to help stop COVID-19. Wash your hands often. Cough & Sneeze into your elbow. Do not touch your face. Stay 6 feet apart. Stay home if you feel sick and call your doctor. For more information visit ephealth.com.

Este es un mensaje del Departamento de Salud Publica de la Ciudad de El Paso. Haga estas cinco cosas simples para ayudar a detener COVID19. Lavate las manos con frecuencia Tose y estornuda en tu codo. No toques tu cara. Mantengase a 6 pies de distancia. Quedese en casa si se siente enfermo y llame a su medico. Para mas informacion visite ephealth.com",
"2020-03-19T22:15:00.000-0500","CAPNET-0-5483-20200319231500",NWEM,Safety,"Local Area Emergency",Observed,Prepare,Severe,Immediate,Alert,"Madison, KY","Berea Police Department looking for Sheryl Payne 69 year old white female 5 feet tall driving a black Mazda SUV If seen call 911","Emergency Alert System","Berea PD is looking for Sheryl Payne, 69 year old white female.  She is 5 feet and 120 pounds with brown hair and blue eyes.  Last seen driving a black Mazda SUV.  If seen please call 911","Berea PD is looking for Sheryl Payne, 69 year old white female.  She is 5 feet and 120 pounds with brown hair and blue eyes.  Last seen driving a black Mazda SUV.  If seen please call 911"
"2020-03-19T20:29:12.000-0500","71E8E775-A49A-41B9-BDC5-FB3C64B25EFF","NWEM
EAS
PUBLIC",Safety,"Civil Emergency Message",Observed,Prepare,Severe,Immediate,Alert,"Puerto Rico","SEGUIMOS EN ESTADO DE EMERGENCIA. DEBEMOS PERMANECER EN CASA. CURFEW STILL IN EFFECT-NMEAD","CEM - NMEAD - Toque De Queda - Curfew","Toque de Queda - Curfew","SEGUIMOS EN ESTADO EMERGENCIA. DEBEMOS PERMANECER EN CASA. CURFEW STILL IN EFFECT"
"2020-03-19T20:00:25.000-0500",454240036204364,"CAPEXCH
NWEM
PUBLIC
CAPEXCH
NWEM
PUBLIC","Health
Health","Civil Emergency Message","Observed
Observed",,"Extreme
Extreme","Immediate
Immediate",Alert,"El Paso County
El Paso County","Now a total of 6 cases. No cases have been reported on Ft. Bliss.  Practice social distancing. If you can stay home, do so. If you need to go out, staying at least 6 feet from other people lessens your chances of catching COVID-19. For more information visit ephealth.com.  To sign up for the Emergency Alert Notification system, visit elpasoready.org.
Al momento no hay casos confirmados en Ft. Bliss. Practica la distancia social. Si puedes quedarte en casa, hazlo. Si necesitas salir, recuerda de mantener una distancia de 6 pies de otras personas reduce la posibilidad de contraer COVID-19. Para mas informacion visita epsalud.com. Para suscribir al sistema de alertas de emergencia, visita elpasoready.org.","This is a message from the City of El Paso Department of Public Health
This is a message from the City of El Paso Department of Public Health","The City announces 3 additional cases of COVID19 have been confirmed. Now a total of 6 cases. No cases have been reported on Ft. Bliss.  Practice social distancing. If you can stay home, do so. If you need to go out, staying at least 6 feet from other people lessens your chances of catching COVID-19. For more information visit ephealth.com.  To sign up for the Emergency Alert Notification system, visit elpasoready.org.

La ciudad anuncia 3 casos adicionales de COVID-19. Un total de 6. Al momento no hay casos confirmados en Ft. Bliss. Practica la distancia social. Si puedes quedarte en casa, hazlo. Si necesitas salir, recuerda de mantener una distancia de 6 pies de otras personas reduce la posibilidad de contraer COVID19. Para mas informacion visita epsalud.com. Para suscribir al sistema de alertas de emergencia, visita elpasoready.org.
The City announces 3 additional cases of COVID19 have been confirmed. Now a total of 6 cases. No cases have been reported on Ft. Bliss.  Practice social distancing. If you can stay home, do so. If you need to go out, staying at least 6 feet from other people lessens your chances of catching COVID-19. For more information visit ephealth.com.  To sign up for the Emergency Alert Notification system, visit elpasoready.org.

La ciudad anuncia 3 casos adicionales de COVID-19. Un total de 6. Al momento no hay casos confirmados en Ft. Bliss. Practica la distancia social. Si puedes quedarte en casa, hazlo. Si necesitas salir, recuerda de mantener una distancia de 6 pies de otras personas reduce la posibilidad de contraer COVID19. Para mas informacion visita epsalud.com. Para suscribir al sistema de alertas de emergencia, visita elpasoready.org.",
"2020-03-19T18:14:45.000-0500","OnSolve-be816e328614498e93aed791fed75a46","NWEM
NWEM","Health
Health","Local Area Emergency","Observed
Observed","Monitor
Monitor","Extreme
Extreme","Immediate
Immediate",Alert,"CA Mono County Sheriff's Office
CA Mono County Sheriff's Office","Mono County Public Health Emergency due to coronavirus. monohealth.com/coronavirus or 211
Mono County Public Health Emergencia Coronavirus. monohealth.com/coronavirus o llame 211","Local Area Emergency
Local Area Emergency","Mono County has declared a Public Health Emergency due to the coronavirus, also known as COVID-19. Updated information can be found at monohealth.com/coronavirus. Until further notice, all non-essential public gatherings, regardless of size, are prohibited. Bars, breweries, health clubs and gyms are closed. Restaurants may only be open for drive-thru, pick-up or delivery. Any travel should be limited to essential needs only. If you require non-emergency services, please call 2-1-1 and follow the prompts. There will be a virtual community meeting tonight, March 19, at 5:30 pm, that can be attended either online or by phone. Details on the meeting are on monohealth.com/coronavirus or call 2-1-1 for instructions.
Mono County Public Health Emergencia Coronavirus (COVID-19) monohealth.com/coronavirus o llame 2-1-1.",
"2020-03-19T16:13:50.000-0500",452865646670352,"CAPEXCH
NWEM
EAS
PUBLIC",Safety,"Civil Emergency Message",Observed,,Extreme,Immediate,Alert,"Kandiyohi County","COVID19 Distancing between family/friends/neighbors is the only way to stop it & our duty!",,,
"2020-03-19T16:13:12.000-0500","AS-ND-1f464a44-467b-466a-964d-b42cd1dcc153","EAS
NWEM",Safety,"Civil Emergency Message",Observed,Execute,Extreme,Immediate,Alert,McKenzie,"Healthcare facilities are following ND DEPT of Health testing guidelines. If telephone screening by Anova determines you DO NOT meet criteria, DO NOT call another provider seeking screening. Employers should not request Dr clearance for employees to report to work.  Disrupting local healthcare. QuestionsND Dept Health COVID19 Hotline(866)207-2880",,,
"2020-03-19T13:17:10.000-0500",454240036203855,"CAPEXCH
NWEM
PUBLIC
CAPEXCH
NWEM
PUBLIC","Health
Health","Civil Emergency Message","Observed
Observed",,"Extreme
Extreme","Immediate
Immediate",Alert,"El Paso County
El Paso County","Please do these five simple things to help stop COVID19.  Wash your hands often. Cough & Sneeze into your elbow. Dont touch your face. Stay 6 feet apart. Stay home if you feel sick and call your doctor. For more information visit ephealth.com
Haga estas cinco cosas simples para ayudar a detener COVID-19.  Lavate las manos con frecuencia
Tose y estornuda en tu codo. No toques tu cara. Mantengase a 6 pies de distancia. Quedese en casa si se siente enfermo y llame a su medico. Para mas informacion visite ephealth.com","This is a message from the City of El Paso Department of Public Health
This is a message from the City of El Paso Department of Public Health","This is a message from the City of El Paso's Department of Public Health. Please do these five simple things to help stop COVID19.  Wash your hands often. Cough & Sneeze into your elbow. Dont touch your face. Stay 6 feet apart. Stay home if you feel sick and call your doctor. For more information visit ephealth.com
This is a message from the City of El Paso's Department of Public Health. Please do these five simple things to help stop COVID19.  Wash your hands often. Cough & Sneeze into your elbow. Dont touch your face. Stay 6 feet apart. Stay home if you feel sick and call your doctor. For more information visit ephealth.com",
"2020-03-19T13:14:51.000-0500",453690280390226,"CAPEXCH
NWEM
EAS
PUBLIC
CAPEXCH
NWEM
EAS
PUBLIC","Safety
Safety","Civil Emergency Message","Observed
Observed",,"Severe
Severe","Immediate
Immediate",Alert,"Santa Clara County
Santa Clara County","The goal of the call center is to connect the community to information about the coronavirus public health emergency. Call (650) 272-3181 from 8:30 a.m. to 6 p.m. Monday through Friday. You are not alone, we are in this together.
El objetivo del centro de llamadas es conectar a la comunidad con informacion sobre la emergencia de salud publica del coronavirus. Llame al (650) 272-3181 de 8:30 a.m. a 6 p.m. De lunes a viernes. No estas solo, estamos juntos en esto.","Palo Alto Community Support Call Center
Palo Alto Community Support Call Center",,
"2020-03-19T13:04:57.000-0500","OnSolve-0cde2bdb9be14b29a02c7d4f7b163f96","EAS
NWEM
EAS
NWEM","Health
Health","Civil Emergency Message","Observed
Observed","Avoid
Avoid","Extreme
Extreme","Immediate
Immediate",Alert,"CO Summit County Government
CO Summit County Government","Summit County Public Health Order in effect. All hotels and lodging have been ordered to be shut down. Stranded motorists due to winter storm conditions will not have access to lodging.

https://bit.ly/2Wroirz
Summit County Public Health Order. All hotels and lodging closed.  
https://bit.ly/2Wroirz","Civil Emergency Message
Civil Emergency Message",,
"2020-03-18T18:02:08.000-0500",453140524575596,"CAPEXCH
NWEM
PUBLIC",Health,"Shelter In Place Warning",Likely,,Extreme,Immediate,Alert,"Lake County","Shelter in place ordered for Lake County due to COVID-19 begins at 12:0Iam March 19, 2020","Shelter In Place Order Issued for Lake County","Shelter in place ordered for Lake County due to COVID-19 begins at 12:0Iam March 19, 2020",
"2020-03-18T17:08:34.000-0500","USGS7581_1","NWEM
EAS",Geo,"Earthquake Warning",Observed,Shelter,Severe,Immediate,Alert,CMAMtext,"Earthquake! Expect shaking. Drop, Cover, Hold On. Protect yourself now. -USGS ShakeAlert","USGS Earthquake Warning",CMAMtext,
"2020-03-18T16:38:36.000-0500",453965158297227,"CAPEXCH
NWEM
EAS
PUBLIC",Safety,"Civil Emergency Message",Observed,,Extreme,Immediate,Alert,"Manatee County. FL","Prevent the spread of the Coronavirus. Beach and restaurant restrictions in effect: 10 people per group, maintain 6 ft distance. Restaurant 50% capacity restrictions in place. Bars and nightclubs closed.","Coronavirus Information",,
"2020-03-18T16:29:24.000-0500","AS-NE-88729b6d-0e85-4727-aead-5c9768967e31",NWEM,Safety,"Civil Emergency Message",Observed,Monitor,Extreme,Immediate,Alert,"County Wide","Public is limited into courthouse by appointment only.  Call ahead & make appointment with specific office or use south parking log drop box.  County and District Court will continue business as scheduled.  Courthouse entry limited to only persons who must appear.  DMV offices are currently closed.  Questions can be called into 402-759-4914","Fillmore County Courthouse Businessoffices","The Fillmore County Courthouse has suspended normal operations & is operating on appointment basis.","The public is limited into the courthouse by appointment only.  Call ahead & make appointment with specific office or use the south parking lot drop box.  County & District court will continue business as scheduled. Courtroom entry is limited to only persons who must appear.  DMV offices are currently closed until further notice.  Questions can be called into 402-759-4914."
"2020-03-18T15:19:44.000-0500","AS-HI-1678be5a-69a6-443b-afb6-fa8a355e0836",NWEM,Safety,"Civil Emergency Message",Observed,Execute,Extreme,Immediate,Alert,"Kauai County","Avoid North Shore Travel on Kauai and all non-essential travel. Kuhio Highway in Hanalei may close on short to no-notice. Kauai Emergency Management Agency.","Avoid North Shore Travel on Kauai","This is the Kauai Emergency Management Agency with an urgent weather message. The National Weather Service has issued a Flash Flood Watch and Severe Thunderstorm Watch. Avoid all non-essential travel, particularly in the north shore area. Kuhio Highway in Hanalei may close on short to no-notice.","Sent by the Kauai Emergency Management Agency 808-241-1800"
"2020-03-18T15:00:51.000-0500","OnSolve-7c2b954c2d4b41cd8ee102f7870b3dc7","EAS
NWEM
EAS
NWEM","Met
Met","Local Area Emergency","Likely
Likely","Monitor
Monitor","Severe
Severe","Expected
Expected",Alert,"TX Hood County
TX Hood County","MONITOR WATER LEVELS FOR POSSIBLE FLOODING EVACUATION MAY BE NEEDED
MONITOR WATER LEVELS FOR POSSIBLE FLOODING EVACUATION MAY BE NEEDED","Local Area Emergency
Local Area Emergency",,
"2020-03-18T14:06:32.000-0500","1144154114091049-1108420200318190632554","EAS
NWEM
PUBLIC",Safety,"Local Area Emergency",Observed,Shelter,Severe,Immediate,Alert,Location,"IPAWS Alert","IPAWS Alert","IPAWS Alert. Salt Lake City Airport Alert:  The Salt Lake City Airport has completed the security sweep and is preparing to allow passengers through at 1:15 p.m.",
"2020-03-18T10:20:45.000-0500","AS-UT-38c76eef-b93c-4e4a-9ef3-7a4619d2331a","NWEM
NWEM","Safety
Safety","Earthquake Warning","Observed
Observed","Avoid
Avoid","Extreme
Extreme","Immediate
Immediate",Alert,"Earthquake Information
Salt Lake County","Salt Lake Valley experienced a 5.7 earthquake with multiple aftershocks. This is an evolving situation multiple agencies are coordinating the response. Damage Assessments are being performed by public safety agencies valley-wide. All areas of possible impact being monitored. If possible, shelter in place, limit travel. Monitor television for updates.
Salt Lake Valley experienced a 5.7 earthquake with multiple aftershocks. This is an evolving situation multiple agencies are coordinating the response. Damage Assessments are being performed by public safety agencies valley-wide. All areas of possible impact being monitored. If possible, shelter in place, limit travel. Monitor television for updates.","Earthquake Information
Earthquake Information","Salt Lake Valley experienced a 5.7 magnitude earthquake with multiple aftershocks. This is an evolving situation; multiple agencies are coordinating the response. Damage Assessments are currently being performed by public safety agencies valley-wide. All areas of possible impact currently being monitored. Please stay alert, if possible, shelter in place and limit travel. Please monitor television for updates.
Salt Lake Valley experienced a 5.7 magnitude earthquake with multiple aftershocks. This is an evolving situation; multiple agencies are coordinating the response. Damage Assessments are currently being performed by public safety agencies valley-wide. All areas of possible impact currently being monitored. Please stay alert, if possible, shelter in place and limit travel. Please monitor television for updates.","Please stay alert, if possible, shelter in place and limit travel. Please monitor television for updates.
Please stay alert, if possible, shelter in place and limit travel. Please monitor television for updates."
"2020-03-18T10:19:58.000-0500","AS-UT-2211a9d5-bee5-4ef7-b4d0-1265cd8947ed","EAS
NWEM",Safety,"Earthquake Warning",Observed,Avoid,Extreme,Immediate,Alert,"Tooele County","Salt Lake County is requesting to avoid non essential travel into Salt Lake Valley until further notice.",,,
"2020-03-18T09:59:10.000-0500",453965158296585,"CAPEXCH
NWEM
PUBLIC",Geo,"Earthquake Warning",Observed,,Extreme,Expected,Alert,"Summit County, Utah","A 5.7 earthquake has occurred near Magna. Aftershocks are occurring and power is out in several locations in SLC. Avoid the area if possible while crews assess damage. Local teams are assessing any damage to critical infrastructure and buildings in the County. Please call 911 ONLY for emergency situations - and report significant damage to 435-615-3601.",,"Please call 9-1-1 for emergency situations, and report any damage to 435-615-3601",
"2020-03-18T09:27:26.000-0500","1144079114061049-1108420200318142725756","EAS
NWEM
PUBLIC",Safety,"Local Area Emergency",Observed,Shelter,Severe,Immediate,Alert,Location,"IPAWS Alert","IPAWS Alert","IPAWS Alert. Salt Lake City Airport Alert:  The Salt Lake City Airport operation is halted until further evaluation.",
"2020-03-18T06:30:00.000-0500","OnSolve-0a399ce20422408d9d40fd9d626634da","EAS
NWEM
EAS
NWEM","Safety
Safety","Local Area Emergency","Observed
Observed","Avoid
Avoid","Severe
Severe","Immediate
Immediate",Alert,"TX Hood County
TX Hood County","Avoid areas of standing water and running water.  Turn around Don't Drown.
Avoid areas of standing water and running water.  Turn around Don't Drown.","Local Area Emergency
Local Area Emergency",,
"2020-03-17T20:20:42.000-0500","1C9EFD4E-44D3-48B1-88A2-2E0DC4C201AF","EAS
NWEM
PUBLIC",Safety,"Civil Emergency Message",Observed,Prepare,Severe,Immediate,Alert,"Puerto Rico","CONTINUAMOS BAJO CIERRE TOTAL. SEGUIMOS EN CASA. CURFEW STILL IN EFFECT - NMEAD","CEM - NMEAD - Toque De Queda - Curfew","Toque de Queda - Curfew","ESTAMOS BAJO CIERRE TOTAL. WE ARE UNDER CURFEW. PERMANEZCAN EN SUS HOGARES. REMAIN AT HOME"
"2020-03-17T19:28:52.000-0500","OnSolve-97e298981d574cc9a5ae4652d8124e33","EAS
NWEM
EAS
NWEM","Health
Health","Civil Emergency Message","Likely
Likely","Shelter
Shelter","Severe
Severe","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SoCo Public Health: SHELTER IN PLACE order at midnight in Sonoma County. See SoCoPSA.org
SoCo Salud Publica: orden de quedarse en casa desde la media noche. Vea SoCoPSA.","Civil Emergency Message
Civil Emergency Message",,
"2020-03-17T18:36:54.000-0500","OnSolve-948b10dad4d34c55ac8349b54288d8b5","NWEM
NWEM","Health
Health","Civil Emergency Message","Observed
Observed","Monitor
Monitor","Severe
Severe","Expected
Expected",Alert,"WY Teton County Emergency Management
WY Teton County Emergency Management","Public health orders issued for Teton County WY. Visit https://bit.ly/2WorNPl for details.
Ordenes de salud publica emitidas para el condado de Teton WY.","Civil Emergency Message
Civil Emergency Message","This Civil Emergency Message is issued by Teton County Wyoming Emergency Management. The Teton County Public Health Officer has issued two Public Health Orders for Teton County, Wyoming. The first forbids large gatherings over 50 people. The second closes certain public places and places restrictions on restaurants. To learn more about these public health orders, please visit www.tetoncountywy.gov. Although these Orders are effective immediately, enforcement will begin on Wednesday March 18th 2020 at 5:00pm to give the community time to adjust.
This Civil Emergency Message is issued by Teton County Wyoming Emergency Management. The Teton County Public Health Officer has issued two Public Health Orders for Teton County, Wyoming. The first forbids large gatherings over 50 people. The second closes certain public places and places restrictions on restaurants. To learn more about these public health orders, please visit www.tetoncountywy.gov. Although these Orders are effective immediately, enforcement will begin on Wednesday March 18th 2020 at 5:00pm to give the community time to adjust.",
"2020-03-17T17:56:33.000-0500",78758346,"NWEM
CAPEXCH",Health,"Civil Emergency Message",Observed,Monitor,Severe,Expected,Alert,"Teton WY","Public Health orders issued for Teton County. Visit https://bit.ly/2WorNPl for more info.","TC Health Officer issues orders forbidding large gatherings, closing certain places, & restricting restaurants.","PUBLIC HEALTH ORDERS ARE EFFECTIVE IMMEDIATELY, HOWEVER ENFORCEMENT WILL BEGIN ON WEDNESDAY MARCH 18, 2020 AT 5:00PM TO GIVE THE COMMUNITY TIME TO ADJUST

For Immediate Release
  
Emergency Ordinance Related to COVID-19
 
March 17, 2020, Jackson, Wyo. - Following guidance issued by the President of the United States, entitled &ldquo;Coronavirus Guidelines for America: 15 Days to Slow the Spread,&rdquo; Teton County&rsquo;s Health Officer, Travis Riddell issued a Public Health Order to require the immediate closure of a variety of establishments within Teton County, including establishments within the Town of Jackson, in order to slow the potential spread of COVID-19 in the community.
 
In response to the continued spread of COVID-19, the President&rsquo;s guidelines suggest avoiding &ldquo;eating or drinking in bars, restaurants, and food courts.&rdquo; Teton County supports and encourages members of the public to practice social distancing in an effort to slow and prevent the spread of COVID- 19 in our valley and to &ldquo;flatten the curve.&rdquo;
 
Effective immediately, the following are hereby closed for all of Teton County including Jackson, Wyoming:
All theaters (film or stage) Bars
All coffee/tea shops Employee Cafeterias Self-serve buffets Salad bars
Unpackaged self-serve food services Nightclubs/Saloons/Taverns
All communal pools, hot tubs, locker rooms, saunas, steam rooms, fitness centers, gyms, conference rooms, and spas
All museums Tasting Rooms

All restaurants may remain open, if, and only if, the restaurant notifies Teton County Health Department&rsquo;s Environmental Health Division at sara.budge@wyo.gov, that they intend to remain open and will follow the procedures listed below:


	Prohibit all dine-in food service, whether inside or outside the establishment and prohibit admitting guests, patrons, customers inside the establishment.
	Curbside take out or drive thru food service is permitted. Cash payments are strongly discouraged. Staff who take cash or credit card payments shall use cleansing measures between transactions, including use of best practices issued by Teton County Health Department&rsquo;s Environmental Health Division. Online and telephonic credit card transactions are highly encouraged. Staff who handle cash or credit cards shall not be involved in preparation, handling, or delivery of food.
	Employees must take food items to the curb and give the items to the patron or customer through the car window.
	For hotel restaurants, food items may only be delivered as room service or curbside service as described above.
	Management shall and must ensure, on a daily basis, that no employee who presents symptoms of illness will be permitted to work.

 
To review the complete Public Health Order please CLICK HERE.
 
###","Help prevent the spread of illness. Wash your hands frequently and thoroughly, practice social distancing, avoid large groups, and help your neighbors and friends during this challenging time."
"2020-03-17T17:54:51.000-0500","OnSolve-C-af6dd1beebd343c88373681a8214249f","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Cancel,"CO Jefferson County Emergency Communications Authority (JCECA)
CO Jefferson County Emergency Communications Authority (JCECA)","Jeffco Sheriff has issued an evacuation order for CR96 and CR126 area due to wildifre. There is a threat to your safety and you should leave this area immediately. If you need help to evacuate, call 911 immediately. Leave now.
Jeffco Sheriff has issued an evacuation order for CR96 and CR126 area due to wildifre. There is a threat to your safety and you should leave this area immediately. If you need help to evacuate, call 911 immediately. Leave now.","Evacuation Immediate
Evacuation Immediate",,
"2020-03-17T17:38:47.000-0500","OnSolve-004bfd355cb7482387d5fa30f96d5ee3","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CO Jefferson County Emergency Communications Authority (JCECA)
CO Jefferson County Emergency Communications Authority (JCECA)","Jeffco Sheriff has issued an evacuation order for CR96 and CR126 area due to wildifre. There is a threat to your safety and you should leave this area immediately. If you need help to evacuate, call 911 immediately. Leave now.
Jeffco Sheriff has issued an evacuation order for CR96 and CR126 area due to wildifre. There is a threat to your safety and you should leave this area immediately. If you need help to evacuate, call 911 immediately. Leave now.","Evacuation Immediate
Evacuation Immediate",,
"2020-03-17T17:36:49.000-0500","FL.238_229_2020-03-17T18:36:49-04:00","EMNET
NWEM
EAS",Safety,"Civil Emergency Message",Likely,,Severe,Immediate,Alert,"Pinellas County","Be kind, responsible, Respect social distancing of 6 ft., keep groups less than 10 people","EAS Covid-19","BE KIND RESPONSIBLE RESPECT SOCIAL DISTANCING OF 6 FT. KEEP GROUPS LESS THAN 10 PEOPLE","Be kind, responsible, Respect social distancing of 6 ft., keep groups less than 10 people"
"2020-03-17T16:58:05.000-0500",453140524574082,"CAPEXCH
NWEM
EAS
PUBLIC
CAPEXCH
NWEM
EAS
PUBLIC","Safety
Safety","Civil Emergency Message","Observed
Observed",,"Extreme
Extreme","Immediate
Immediate",Alert,"Bronx,Kings,New York,Queens,Staten Island
Bronx,Kings,New York,Queens,Staten Island","To learn how to slow the spread of COVID-19, text COVID to 692-692. Spanish: text COVIDESP
EnvÃ­e el texto COVIDESP al 692-692 para actualizaciones en tiempo real.","Notify NYC - COVID-19
Notify NYC - COVID-19",,
"2020-03-17T16:26:38.000-0500","5b0aca35-456e-0d01-af4a-e908a28c3f83",,Safety,"Civil Emergency Message",Observed,Avoid,Moderate,Immediate,Alert,"Jackson, MN,","As of  1 PM March 17th 2020 Jackson County offices will not be open to the public until further notice as a prevention and protection measure in response to the expanding COVID19. Offices are operational by email, phone, or appointment only. Department contacts can be found at www.co.jackson.mn.us","Jackson County Offices Closed to the Public until further Notice","As of  1 PM March 17th 2020 Jackson County offices will not be open to the public until further notice as a prevention and protection measure in response to the expanding COVID19. Offices are operational by email, phone, or appointment only. Department contacts can be found at www.co.jackson.mn.us","Avoid going to Jackson County offices. Business will be conducted by phone or email. Visit County site www.co.jackson.mn.us for a department list."
"2020-03-17T16:11:17.000-0500","fa38e947-4a56-bc23-bf33-37c4732daa1e",,Safety,"Civil Emergency Message",Observed,Avoid,Moderate,Immediate,Alert,"Jackson, MN,","As of  1 PM March 17th 2020 Jackson County offices will not be open to the public until further notice as a prevention and protection measure in response to the expanding COVID19. Offices are operational by email, phone, or appointment only. Department contacts can be found at www.co.jackson.mn.us.","Jackson County Offices closed to the public until further notice, please call or email departments","As of  1 PM March 17th 2020 Jackson County offices will not be open to the public until further notice as a prevention and protection measure in response to the expanding COVID19. Offices are operational by email, phone, or appointment only.","Please visit the website www.co.jackson.mn.us for department contact information"
"2020-03-17T13:35:25.000-0500","OnSolve-2f5c351633904833b8136cfd98723b5b","NWEM
NWEM","Health
Health","Civil Emergency Message","Observed
Observed","Prepare
Prepare","Extreme
Extreme","Immediate
Immediate",Alert,"RI Rhode Island Emergency Management Agency
RI Rhode Island Emergency Management Agency","State of RI: Due to COVID-19, do not gather in groups of 25+. www.health.ri.gov/covid
State of RI: Due to COVID-19, do not gather in groups of 25+. www.health.ri.gov/covid","Civil Emergency Message
Civil Emergency Message","This is a message from the State of Rhode Island.  People should not gather in groups of 25 or more.  Restaurants, bars and coffee shops are take out or delivery only through March 30.  All Rhode Islanders returning from International travel are required to self-quarantine for 14 days.  Visit www.health.ri.gov/covid for more information.
Este es un mensaje del estado de Rhode Island: Para prevenir la expancion del COVID-19 (coronavirus) en Rhode Island, los ciudadanos no deben de estar en grupos de 25 personas o mas. Restaurantes, barras y cafeterias son solamente para entregas a domicilio  al partir desde ahora asta Marzo 30. Todos los ciudadanos de Rhode Island que han llegado de viajes internacionales deben de quedarse en quarantena en sus hogares por 15 dias. Visita www.health.ri.gov/covid para mas informacion.",
